SchoolYear,DistrictID,LEA,LEA Number,School,School Number,CompositeSchoolID,Avg. Composite Score,Avg. English Score,Avg. Reading Score,Avg. Math Score,Avg. Science Score,Percent With 18 or Higher Composite Score Masked
2022,122,Alpine District,1,American Fork High,704,122180704,20.7,19.8,22,19.7,20.7,70.2%
2022,122,Alpine District,1,Lehi High,708,122181708,19.7,17.6,21,19.6,20,62.5%
2022,122,Alpine District,1,Lone Peak High,709,122182709,22,21.8,23.2,20.8,21.6,79.5%
2022,122,Alpine District,1,Mountain View High,711,122183711,18.5,17,19.8,17.8,18.8,49.1%
2022,122,Alpine District,1,Orem High,712,122184712,19.2,17.6,20.4,18.9,19.4,56.4%
2022,122,Alpine District,1,Pleasant Grove High,716,122185716,19.9,18.2,21.3,19.7,19.8,62.8%
2022,122,Alpine District,1,Timpanogos High,718,122186718,20.5,18.5,22.5,19.9,20.7,63.8%
2022,122,Alpine District,1,Cedar Valley High,721,122186536721,19,17.2,20.7,18.3,19.4,56.8%
2022,122,Alpine District,1,Summit High,730,122188730,15.1,14.1,16.5,14.1,15.4,20 to 29%
2022,122,Alpine District,1,Polaris High School,782,122186292782,15.8,13.6,17.2,16,16.2,25.0%
2022,122,Alpine District,1,Skyridge High School,785,122186426785,21.1,19.6,22.3,20.6,21.2,73.5%
2022,122,Alpine District,1,Westlake High,789,122186032789,20.3,18.2,21.7,20.2,20.4,65.4%
2022,197,Beaver District,2,Beaver High,704,197202704,18,16.3,18.6,18.5,17.9,50.0%
2022,197,Beaver District,2,Milford High,708,197203708,16.3,14.8,16.5,16.4,16.8,20 to 29%
2022,205,Box Elder District,3,Bear River High,704,205235704,19.3,18.1,20.2,19.1,19.5,60.2%
2022,205,Box Elder District,3,Box Elder High,708,205236708,20.1,19,20.9,19.2,20.6,67.8%
2022,205,Box Elder District,3,Sunrise High School,778,205240778,15.6,15.3,16.9,14.6,15.2,30 to 39%
2022,243,Cache District,4,Mountain Crest High,702,243270702,20,18.5,21,20.2,19.9,66.6%
2022,243,Cache District,4,Green Canyon High School,703,243186473703,20.2,18.5,21.8,19.7,20.4,65.7%
2022,243,Cache District,4,Ridgeline High School,705,243186436705,21.1,19.2,22.3,21.4,20.8,72.6%
2022,243,Cache District,4,Sky View High,706,243271706,20.2,18.2,21.8,19.6,20.7,65.4%
2022,243,Cache District,4,Cache High,710,243272710,15.6,14.3,16.6,15.4,15.8,27.8%
2022,279,Carbon District,5,Carbon High,704,279293704,18.5,17.5,19.3,17.7,19,51.5%
2022,300,Daggett District,6,Manila High,704,300306704,19.4,19.1,20.1,18.7,18.8,50 to 59%
2022,308,Davis District,7,Bountiful High,704,308390704,21.2,20.3,22.5,20.7,20.9,72.2%
2022,308,Davis District,7,Clearfield High,706,308391706,19.3,17.9,20.4,18.8,19.5,59.0%
2022,308,Davis District,7,Davis High,708,308392708,22.1,21.1,22.8,22.2,21.6,76.6%
2022,308,Davis District,7,Farmington High,709,308186535709,22.4,21.5,23.7,21.6,22.3,81.4%
2022,308,Davis District,7,Layton High,710,308393710,19.6,18,20.8,19.1,20,63.4%
2022,308,Davis District,7,Northridge High,711,308394711,19.4,17.9,20.8,19.1,19.5,59.2%
2022,308,Davis District,7,Viewmont High,712,308395712,21.9,21.1,23.4,21.1,21.5,75.1%
2022,308,Davis District,7,Woods Cross High,714,308396714,21,19.7,21.8,21.4,20.7,64.7%
2022,308,Davis District,7,Syracuse High,716,308185844716,19.9,18.7,21.3,19.2,19.8,63.9%
2022,308,Davis District,7,Mountain High,730,308400730,16,14.1,18.5,15.8,15.5,29.5%
2022,308,Davis District,7,Renaissance Academy,733,308403733,13,9.3,14.3,14.3,13,N < 10
2022,308,Davis District,7,Davis Connect 7-12,835,308186611835,18.8,17.6,21,16.8,18.9,50 to 59%
2022,422,Duchesne District,8,Altamont High,704,422434704,19,16.8,19.6,19,20,40 to 49%
2022,422,Duchesne District,8,Duchesne High,708,422435708,17.2,15.8,17.8,17,17.7,38.1%
2022,422,Duchesne District,8,Tabiona High,712,422436712,19.5,17.4,20.7,18.5,20.3,40 to 49%
2022,422,Duchesne District,8,Union High,714,422437714,18.1,15.7,19.3,18.3,18.3,48.1%
2022,422,Duchesne District,8,Basin Online School,800,422186640800,16.6,15.6,18.8,16.1,15.4,30 to 39%
2022,442,Emery District,9,Green River High,704,442453704,16.1,14.1,16.8,16.6,16.4,N < 10
2022,442,Emery District,9,Emery High,706,442454706,18.4,17.3,18.3,18.8,18.9,54.5%
2022,456,Garfield District,10,Bryce Valley High,704,456464704,18.8,17.6,18.3,19.9,18.9,60 to 69%
2022,456,Garfield District,10,Escalante High,708,456465708,22.3,20.7,26.7,20.9,20.4,N < 10
2022,456,Garfield District,10,Panguitch High,712,456466712,16.2,13.6,16.4,17.4,16.7,31.7%
2022,468,Grand District,11,Grand County High,704,468473704,18.5,17,20.2,17.8,18.7,48.4%
2022,480,Granite District,12,Youth Educational Support School,501,480186180501,13,11.5,13,14,12,N < 10
2022,480,Granite District,12,Cottonwood High,702,480598702,18,17.2,18.3,17.6,18.3,48.0%
2022,480,Granite District,12,Cyprus High,704,480599704,17.2,16.1,17.7,16.8,17.9,41.7%
2022,480,Granite District,12,Granger High,708,480600708,16,15,16.3,15.7,16.4,29.8%
