,LEA Type,Local Education Agency (LEA),Mean School Administrator Salary in dollars,Administrator to Teacher Mean Salary Ratio within LEA,Mean Teacher Salary in Dollars,LEA Teacher to State Teacher Mean Salary Ratio
143,Charter,Vanguard Academy,78400.0,2.0110200822414868,38985.19,0.6812438926874412
144,Charter,Venture Academy,57300.0,1.3440797158901654,42631.4,0.7449593265215683
145,Charter,Vista School,0.0,0.0,42733.72,0.7467473099865657
146,Charter,Voyage Academy,75852.0,1.599827218997811,47412.62,0.8285084107916475
147,Charter,Walden School of Liberal Arts,60408.52,1.4017065458584599,43096.41,0.7530851102496606
148,Charter,Wallace Stegner Academy,122003.0,2.2679654229289015,53794.03,0.9400198998785178
149,Charter,Wasatch Peak Academy,98500.0,2.1167659684204305,46533.25,0.8131419231097212
150,Charter,Wasatch Waldorf Charter School,85000.0,1.9224466911186808,44214.49,0.7726229186208902
151,Charter,Weber State University Charter Academy,0.0,0.0,56202.0,0.9820977980822864
152,Charter,Weilenmann School of Discovery,78138.75,1.4331526487887154,54522.28,0.9527456520128443
153,Charter,Winter Sports School,90000.0,1.0,90000.0,1.5726985129960815
