SchoolYear,DistrictID,CompositeSchoolID,LocalEducationAgency,School,LEAType,ClassSize
2022,122,122168404,Alpine District,American Fork Jr High,District,36.33757961783439
2022,122,122169405,Alpine District,Canyon View Jr High,District,31.85981308411215
2022,122,122170406,Alpine District,Lakeridge Jr High,District,35.123893805309734
2022,122,122171408,Alpine District,Lehi Jr High,District,30.322916666666668
2022,122,122172410,Alpine District,Mountain Ridge Jr High,District,31.923076923076923
2022,122,122173412,Alpine District,Oak Canyon Jr High,District,32.296
2022,122,122174414,Alpine District,Orem Jr High,District,30.693069306930692
2022,122,122175416,Alpine District,Pleasant Grove Jr High,District,30.547619047619047
2022,122,122180704,Alpine District,American Fork High,District,29.131386861313867
2022,122,122181708,Alpine District,Lehi High,District,29.460176991150444
2022,122,122182709,Alpine District,Lone Peak High,District,28.137931034482758
2022,122,122183711,Alpine District,Mountain View High,District,30.930232558139537
2022,122,122184712,Alpine District,Orem High,District,29.771428571428572
2022,122,122185716,Alpine District,Pleasant Grove High,District,29.2109375
2022,122,122186718,Alpine District,Timpanogos High,District,25.670454545454547
2022,122,12265563420,Alpine District,Timberline Middle,District,33.125
2022,122,122130582425,Alpine District,Willowcreek Middle,District,35.280575539568346
2022,122,122186032789,Alpine District,Westlake High,District,27.972972972972972
2022,122,122186162490,Alpine District,Vista Heights Middle,District,32.666666666666664
2022,122,122186328417,Alpine District,Frontier Middle School,District,32.906474820143885
2022,122,122186426785,Alpine District,Skyridge High School,District,29.693430656934307
2022,122,122186536721,Alpine District,Cedar Valley High,District,31.91860465116279
2022,122,122186577450,Alpine District,Lake Mountain Middle,District,32.773109243697476
2022,122,122186634435,Alpine District,Viewpoint Middle,District,34.68055555555556
2022,197,197201712,Beaver District,Minersville School,District,15.0
2022,197,197202704,Beaver District,Beaver High,District,25.76086956521739
2022,197,197203708,Beaver District,Milford High,District,18.285714285714285
2022,205,205218710,Box Elder District,Grouse Creek Secondary,District,1.0
2022,205,205226712,Box Elder District,Park Valley Secondary,District,4.0
2022,205,205231304,Box Elder District,Harris Intermediate,District,27.886363636363637
2022,205,205232308,Box Elder District,Young Intermediate,District,28.396551724137932
2022,205,205233404,Box Elder District,Bear River Middle,District,27.471264367816094
2022,205,205234408,Box Elder District,Box Elder Middle,District,30.784313725490197
2022,205,205235704,Box Elder District,Bear River High,District,28.653061224489797
2022,205,205236708,Box Elder District,Box Elder High,District,26.705882352941178
2022,243,243262330,Cache District,Spring Creek Middle School,District,27.626262626262626
2022,243,243265406,Cache District,North Cache Middle School,District,28.008333333333333
2022,243,243267410,Cache District,South Cache Middle School,District,28.16393442622951
2022,243,243270702,Cache District,Mountain Crest High,District,29.38235294117647
2022,243,243271706,Cache District,Sky View High,District,30.295081967213115
2022,243,243186436705,Cache District,Ridgeline High School,District,28.402298850574713
2022,243,243186473703,Cache District,Green Canyon High School,District,29.5974025974026
2022,279,279289408,Carbon District,Helper Middle,District,21.27777777777778
2022,279,279290412,Carbon District,Mont Harmon Middle,District,23.84313725490196
2022,279,279293704,Carbon District,Carbon High,District,25.973684210526315
2022,300,300306704,Daggett District,Manila High,District,16.133333333333333
2022,308,308359402,Davis District,Fairfield Jr High,District,32.258426966292134
2022,308,308360404,Davis District,Bountiful Jr High,District,28.764705882352942
2022,308,308361406,Davis District,Centerville Jr High,District,31.057471264367816
2022,308,308362408,Davis District,Central Davis Jr High,District,28.875
2022,308,308363409,Davis District,Farmington Jr High,District,32.62280701754386
2022,308,308364410,Davis District,Kaysville Jr High,District,27.962264150943398
2022,308,308365411,Davis District,Millcreek Jr High,District,30.690140845070424
